id;name;street_address;city;state_province;lang;lat
1;Secured Program;the program Ghana;West Hopefort;Soft Colombia;installation International generating;Chief
2;connecting;Gold harness;Lake Oswald;District;Reverse-engineered;Car Bedfordshire hour
3;Concrete Steel;Delaware blue Fuerte;Lake Arvidmouth;Forward parsing Mali;Plastic Fresh;Fully-configurable infrastructure Monaco
4;Fresh;Designer Austria;North Luna;Liaison Tactics infomediaries;turn-key synthesize;Bedfordshire Technician
5;pixel auxiliary Korea;vertical Key Forward;Runteport;Toys Assurance Concrete;full-range;bandwidth blue drive
6;wireless payment Nigeria;Fresh Market;Bertrandview;Designer;Automotive;Bhutanese extensible
7;haptic;viral approach foreground;Appleton;PCI Tasty Pike;Movies;Fresh
8;Cambridgeshire Zloty;orchid Bike;Hoppeside;Hollow Manager Granite;Account web-readiness;SMS azure Ball
9;SCSI grow brand;Arkansas;West Reuben;input;Borders Loan;intermediate
10;JBOD;compressing Tajikistan payment;Aleneborough;parsing Zimbabwe Concrete;Cheese portals;Granite
